iter	Logloss
0	0.6720351093
1	0.6554351868
2	0.6430620182
3	0.6324981104
4	0.6236732287
5	0.616899823
6	0.6119064394
7	0.6075010795
8	0.6029131351
9	0.5999046713
10	0.5975895136
11	0.5945228458
12	0.5911457403
13	0.5884720464
14	0.5866626688
15	0.5841600298
16	0.5817893242
17	0.5801499742
18	0.578101212
19	0.5766812782
20	0.5751477708
21	0.5732428643
22	0.5719064613
23	0.5701918149
24	0.568540472
25	0.5675883268
26	0.5659652133
27	0.5645892129
28	0.562898842
29	0.5615360692
30	0.5603930939
31	0.5594945289
32	0.5583842373
33	0.5571003826
34	0.5558432556
35	0.5545603433
36	0.5537227559
37	0.5527967558
38	0.5518818282
39	0.5507311921
40	0.5495008119
41	0.5483804384
42	0.5474455804
43	0.5462490802
44	0.5453567
45	0.5440792857
46	0.5433781733
47	0.5424328789
48	0.5416338581
49	0.5406778151
50	0.5398718435
51	0.5390750902
52	0.538179628
53	0.5373659143
54	0.5367279784
55	0.5358154802
56	0.534762561
57	0.5340187896
58	0.5331920762
59	0.5323745404
60	0.5318446139
61	0.5310889078
62	0.5306101359
63	0.5296209443
64	0.5291173105
65	0.5283870116
66	0.5272438865
67	0.5265637979
68	0.5260146896
69	0.5252143231
70	0.5242628303
71	0.5237831961
72	0.5232880727
73	0.522434029
74	0.5218655757
75	0.5212588973
76	0.5208942391
77	0.5199019064
78	0.5192705935
79	0.5186579977
80	0.5180385299
81	0.5176702114
82	0.5169947122
83	0.516602221
84	0.5159340294
85	0.5154430066
86	0.5147866093
87	0.5145313291
88	0.5135837465
89	0.513139749
90	0.5124690222
91	0.5120764948
92	0.5113252479
93	0.5109224263
94	0.5103966234
95	0.5098087212
96	0.5091245442
97	0.5083648656
98	0.5078929239
99	0.5076104658
