iter	Passed	Remaining
0	198	19689
1	275	13477
2	340	10997
3	398	9572
4	462	8789
5	522	8181
6	578	7687
7	643	7397
8	705	7129
9	762	6861
10	825	6675
11	886	6500
12	954	6385
13	1007	6188
14	1062	6018
15	1132	5943
16	1196	5843
17	1258	5731
18	1320	5629
19	1390	5561
20	1456	5479
21	1525	5410
22	1587	5314
23	1650	5225
24	1714	5143
25	1774	5051
26	1843	4985
27	1911	4914
28	1967	4817
29	2031	4740
30	2096	4666
31	2159	4588
32	2227	4521
33	2291	4447
34	2352	4368
35	2417	4297
36	2483	4229
37	2547	4156
38	2612	4086
39	2680	4020
40	2745	3951
41	2808	3878
42	2887	3826
43	2971	3781
44	3047	3724
45	3121	3663
46	3173	3579
47	3255	3527
48	3320	3456
49	3393	3393
50	3472	3336
51	3538	3266
52	3610	3201
53	3673	3129
54	3745	3064
55	3817	2999
56	3901	2943
57	3972	2876
58	4040	2807
59	4112	2741
60	4168	2664
61	4228	2591
62	4298	2524
63	4358	2451
64	4416	2377
65	4492	2314
66	4561	2246
67	4630	2179
68	4693	2108
69	4762	2040
70	4829	1972
71	4905	1907
72	4986	1844
73	5065	1779
74	5140	1713
75	5210	1645
76	5270	1574
77	5333	1504
78	5406	1437
79	5464	1366
80	5537	1299
81	5606	1230
82	5674	1162
83	5743	1093
84	5813	1025
85	5873	956
86	5939	887
87	6018	820
88	6099	753
89	6156	684
90	6220	615
91	6289	546
92	6360	478
93	6426	410
94	6496	341
95	6559	273
96	6625	204
97	6691	136
98	6758	68
99	6825	0
